,VenCatg,VenCatgTier,GenVenCatg
244,Indian Restaurant,Tier-2,Restaurants/Foods
245,Indie Movie Theater,Tier-2,
246,Indie Theater,Tier-2,
247,Indonesian Restaurant,Tier-2,Restaurants/Foods
248,Indoor Play Area,Tier-3,
249,Inn,Tier-2,
250,Intersection,Tier-3,
251,Iraqi Restaurant,Tier-2,Restaurants/Foods
252,Irish Pub,Tier-2,Bars/Pubs/Cafés
253,Island,Tier-2,
254,Israeli Restaurant,Tier-2,Restaurants/Foods
255,IT Services,Tier-3,
256,Italian Restaurant,Tier-2,Restaurants/Foods
257,Japanese Curry Restaurant,Tier-2,Restaurants/Foods
258,Japanese Family Restaurant,Tier-2,Restaurants/Foods
259,Japanese Restaurant,Tier-2,Restaurants/Foods
260,Jazz Club,Tier-2,
261,Jewelry Store,Tier-2,Shops/Stores
262,Jiangxi Restaurant,Tier-2,Restaurants/Foods
263,Juice Bar,Tier-2,Bars/Pubs/Cafés
264,Kaiseki Restaurant,Tier-2,Restaurants/Foods
265,Karaoke Bar,Tier-2,Bars/Pubs/Cafés
266,Karaoke Box,Tier-2,Bars/Pubs/Cafés
267,Kebab Restaurant,Tier-2,Restaurants/Foods
268,Kids Store,Tier-2,Shops/Stores
269,Kitchen Supply Store,Tier-2,Shops/Stores
270,Korean BBQ Restaurant,Tier-2,Restaurants/Foods
271,Korean Restaurant,Tier-2,Restaurants/Foods
272,Kushikatsu Restaurant,Tier-2,Restaurants/Foods
273,Latin American Restaurant,Tier-2,Restaurants/Foods
274,Laundry Service,Tier-2,Shops/Stores
275,Leather Goods Store,Tier-2,Shops/Stores
276,Lebanese Restaurant,Tier-2,Restaurants/Foods
277,Library,Tier-2,Arts/Culture
278,Light Rail Station,Tier-3,
279,Lingerie Store,Tier-2,Shops/Stores
280,Liquor Store,Tier-2,Shops/Stores
281,Lombard Restaurant,Tier-2,Restaurants/Foods
282,Lounge,Tier-2,
283,Luggage Store,Tier-2,Shops/Stores
284,Mac & Cheese Joint,Tier-3,Restaurants/Foods
285,Malay Restaurant,Tier-2,Restaurants/Foods
286,Marijuana Dispensary,Tier-3,Shops/Stores
287,Market,Tier-1,Restaurants/Foods
288,Martial Arts Dojo,Tier-3,
289,Massage Studio,Tier-3,
290,Mattress Store,Tier-2,Shops/Stores
291,Medical Center,Tier-2,
292,Medical Supply Store,Tier-2,Shops/Stores
293,Mediterranean Restaurant,Tier-2,Restaurants/Foods
294,Memorial Site,Tier-2,
295,Men's Store,Tier-2,Shops/Stores
296,Metro Station,Tier-3,
297,Mexican Restaurant,Tier-2,Restaurants/Foods
298,Meyhane,Tier-2,Restaurants/Foods
299,Middle Eastern Restaurant,Tier-2,Restaurants/Foods
300,Mini Golf,Tier-2,Parks/Outdoors
301,Miscellaneous Shop,Tier-2,Shops/Stores
302,Mobile Phone Shop,Tier-2,Shops/Stores
303,Mobility Store,Tier-2,Shops/Stores
304,Modern European Restaurant,Tier-2,Restaurants/Foods
305,Molecular Gastronomy Restaurant,Tier-2,Restaurants/Foods
306,Mongolian Restaurant,Tier-2,Restaurants/Foods
307,Monjayaki Restaurant,Tier-2,Restaurants/Foods
308,Monument / Landmark,Tier-1,Arts/Culture
309,Moroccan Restaurant,Tier-2,Restaurants/Foods
310,Motel,Tier-3,
311,Motorcycle Shop,Tier-2,Shops/Stores
312,Mountain,Tier-2,Parks/Outdoors
313,Movie Theater,Tier-2,Arts/Culture
314,Multiplex,Tier-3,
315,Museum,Tier-1,Arts/Culture
316,Music School,Tier-2,Arts/Culture
317,Music Store,Tier-2,Shops/Stores
318,Music Venue,Tier-1,Arts/Culture
319,Nabe Restaurant,Tier-2,Restaurants/Foods
320,Nail Salon,Tier-3,Shops/Stores
321,National Park,Tier-1,Parks/Outdoors
322,Neighborhood,Tier-3,
323,New American Restaurant,Tier-2,Restaurants/Foods
324,Nightclub,Tier-3,
325,Non-Profit,Tier-3,
326,Noodle House,Tier-2,Restaurants/Foods
327,North Indian Restaurant,Tier-2,Restaurants/Foods
328,Office,Tier-3,
329,Okonomiyaki Restaurant,Tier-2,Restaurants/Foods
330,Opera House,Tier-1,Arts/Culture
331,Optical Shop,Tier-2,Shops/Stores
332,Organic Grocery,Tier-2,Restaurants/Foods
333,Other Great Outdoors,Tier-2,Parks/Outdoors
334,Other Nightlife,Tier-2,Bars/Pubs/Cafés
335,Other Repair Shop,Tier-2,Shops/Stores
336,Outdoor Sculpture,Tier-2,
337,Outdoor Supply Store,Tier-2,Shops/Stores
338,Outdoors & Recreation,Tier-2,Parks/Outdoors
339,Paella Restaurant,Tier-2,Restaurants/Foods
340,Pakistani Restaurant,Tier-2,Restaurants/Foods
341,Palace,Tier-1,Arts/Culture
